,Unnamed: 0,woodyrip_class,pointid,near_woody
597,597,Quercus lobata,750224,2002.0363125999997
598,598,Quercus lobata,750225,2028.89005394
599,599,Quercus lobata,750226,2055.83080652
600,600,Quercus lobata,750227,2082.85519395
601,601,Quercus lobata,750228,2109.96000269
602,602,Quercus lobata,750229,2137.14217287
603,603,Quercus lobata,750325,1508.65845935
604,604,Quercus lobata,750326,1532.41502245
605,605,Quercus lobata,750327,1556.38724454
606,606,Quercus lobata,750328,1580.5653131
607,607,Quercus lobata,750329,1604.93992505
608,608,Quercus lobata,750330,1629.5022605000001
609,609,Quercus lobata,750331,1654.24395751
610,610,Quercus lobata,750332,1679.15708766
611,611,Quercus lobata,750333,1704.23413267
612,612,Quercus lobata,750334,1729.4679624000003
613,613,Quercus lobata,750335,1754.85181341
614,614,Quercus lobata,750336,1780.37926885
615,615,Quercus lobata,750337,1806.04423948
616,616,Quercus lobata,750338,1831.84094534
617,617,Quercus lobata,750339,1857.76389861
618,618,Quercus lobata,750340,1883.80788749
619,619,Quercus lobata,750341,1909.96796074
620,620,Quercus lobata,750342,1936.23941313
621,621,Quercus lobata,750343,1962.6177719999998
622,622,Quercus lobata,750344,1989.09878413
623,623,Quercus lobata,750345,2015.67840366
624,624,Quercus lobata,750346,2042.35278073
625,625,Quercus lobata,750347,2069.11825062
626,626,Quercus lobata,750348,2095.97132351
627,627,Quercus lobata,750349,2122.90867513
628,628,Quercus lobata,750350,2149.92713761
629,629,Quercus lobata,750351,2177.02369095
630,630,Quercus lobata,750352,2204.19545525
631,631,Quercus lobata,750447,1550.77588033
632,632,Quercus lobata,750448,1574.46857224
633,633,Quercus lobata,750449,1598.37315385
634,634,Quercus lobata,750450,1622.48025967
