,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,accesstype,unitname,AGNCY_NAME,pointid,near_cpad
224,224,224,224,Open Access,Carolo Gabriault Park,"Merced, City of",1745331,3231.17160028
225,225,225,225,Open Access,Carolo Gabriault Park,"Merced, City of",1745332,3201.43166107
226,226,226,226,Open Access,Carolo Gabriault Park,"Merced, City of",1745333,3171.69662018
227,227,227,227,Open Access,Carolo Gabriault Park,"Merced, City of",1745334,3141.9666167
228,228,228,228,Open Access,Carolo Gabriault Park,"Merced, City of",1745335,3112.24179499
229,229,229,229,Open Access,Carolo Gabriault Park,"Merced, City of",1745336,3082.52230495
230,230,230,230,Open Access,Carolo Gabriault Park,"Merced, City of",1745337,3052.80830228
231,231,231,231,Open Access,Carolo Gabriault Park,"Merced, City of",1745338,3023.09994881
232,232,232,232,Open Access,Carolo Gabriault Park,"Merced, City of",1745339,2993.39741272
233,233,233,233,Open Access,Carolo Gabriault Park,"Merced, City of",1745340,2963.70086893
234,234,234,234,Open Access,Carolo Gabriault Park,"Merced, City of",1745341,2934.01049938
235,235,235,235,Open Access,Carolo Gabriault Park,"Merced, City of",1745342,2904.32649344
236,236,236,236,Open Access,Carolo Gabriault Park,"Merced, City of",1745343,2874.64904823
237,237,237,237,Open Access,Carolo Gabriault Park,"Merced, City of",1745344,2844.97836907
238,238,238,238,Open Access,Carolo Gabriault Park,"Merced, City of",1745345,2815.31466989
239,239,239,239,Open Access,Carolo Gabriault Park,"Merced, City of",1745346,2785.65817366
240,240,240,240,Open Access,Carolo Gabriault Park,"Merced, City of",1745347,2756.00911292
241,241,241,241,Open Access,Carolo Gabriault Park,"Merced, City of",1745348,2726.36773024
242,242,242,242,Open Access,Carolo Gabriault Park,"Merced, City of",1745349,2696.73427881
243,243,243,243,Open Access,Carolo Gabriault Park,"Merced, City of",1745350,2667.10902298
244,244,244,244,Open Access,Carolo Gabriault Park,"Merced, City of",1745351,2637.49223894
245,245,245,245,Open Access,Carolo Gabriault Park,"Merced, City of",1745352,2607.88421531
246,246,246,246,Open Access,Carolo Gabriault Park,"Merced, City of",1745353,2578.2852539
247,247,247,247,Open Access,Carolo Gabriault Park,"Merced, City of",1745354,2548.69567043
248,248,248,248,Open Access,Carolo Gabriault Park,"Merced, City of",1745355,2519.11579537
249,249,249,249,Open Access,Carolo Gabriault Park,"Merced, City of",1745356,2489.54597477
250,250,250,250,Open Access,Carolo Gabriault Park,"Merced, City of",1745357,2459.9865711999996
251,251,251,251,Open Access,Carolo Gabriault Park,"Merced, City of",1745358,2430.43796475
252,252,252,252,Open Access,Carolo Gabriault Park,"Merced, City of",1745359,2400.90055406
253,253,253,253,Open Access,Carolo Gabriault Park,"Merced, City of",1745360,2371.3747574999998
254,254,254,254,Open Access,Carolo Gabriault Park,"Merced, City of",1745361,2341.86101434
255,255,255,255,Open Access,Carolo Gabriault Park,"Merced, City of",1745362,2312.35978612
256,256,256,256,Open Access,Carolo Gabriault Park,"Merced, City of",1745363,2282.87155804
257,257,257,257,Open Access,Carolo Gabriault Park,"Merced, City of",1745364,2253.39684044
258,258,258,258,Open Access,Carolo Gabriault Park,"Merced, City of",1745365,2223.93617051
259,259,259,259,Open Access,Carolo Gabriault Park,"Merced, City of",1745366,2194.49011401
260,260,260,260,Open Access,Carolo Gabriault Park,"Merced, City of",1745367,2165.0592672
261,261,261,261,Open Access,Carolo Gabriault Park,"Merced, City of",1745368,2135.64425888
262,262,262,262,Open Access,Carolo Gabriault Park,"Merced, City of",1745369,2106.24575263
263,263,263,263,Open Access,Carolo Gabriault Park,"Merced, City of",1745370,2076.86444923
264,264,264,264,Open Access,Carolo Gabriault Park,"Merced, City of",1745371,2047.50108925
265,265,265,265,Open Access,Carolo Gabriault Park,"Merced, City of",1745372,2018.1564559
266,266,266,266,Open Access,Carolo Gabriault Park,"Merced, City of",1745373,1988.83137809
267,267,267,267,Open Access,Carolo Gabriault Park,"Merced, City of",1745374,1959.5267337999999
268,268,268,268,Open Access,Carolo Gabriault Park,"Merced, City of",1745375,1930.24345368
269,269,269,269,Open Access,Carolo Gabriault Park,"Merced, City of",1745376,1900.98252503
270,270,270,270,Open Access,Carolo Gabriault Park,"Merced, City of",1745377,1871.74499612
271,271,271,271,Open Access,Carolo Gabriault Park,"Merced, City of",1745378,1842.53198086
272,272,272,272,Open Access,Carolo Gabriault Park,"Merced, City of",1745379,1813.34466401
273,273,273,273,Open Access,Carolo Gabriault Park,"Merced, City of",1745380,1784.18430676
274,274,274,274,Open Access,Carolo Gabriault Park,"Merced, City of",1745381,1755.05225292
275,275,275,275,Open Access,Carolo Gabriault Park,"Merced, City of",1745382,1725.94993568
276,276,276,276,Open Access,Carolo Gabriault Park,"Merced, City of",1745383,1696.87888504
277,277,277,277,Open Access,Carolo Gabriault Park,"Merced, City of",1745384,1667.84073595
278,278,278,278,Open Access,Carolo Gabriault Park,"Merced, City of",1745385,1638.83723734
279,279,279,279,Open Access,Carolo Gabriault Park,"Merced, City of",1745386,1609.870262
280,280,280,280,Open Access,Carolo Gabriault Park,"Merced, City of",1745387,1580.94181755
281,281,281,281,Open Access,Carolo Gabriault Park,"Merced, City of",1745388,1552.05405849
282,282,282,282,Open Access,Carolo Gabriault Park,"Merced, City of",1745389,1523.20929963
283,283,283,283,Open Access,Carolo Gabriault Park,"Merced, City of",1745390,1494.41003091
284,284,284,284,Open Access,Carolo Gabriault Park,"Merced, City of",1745391,1465.65893389
285,285,285,285,Open Access,Carolo Gabriault Park,"Merced, City of",1745392,1436.95890007
286,286,286,286,Open Access,Carolo Gabriault Park,"Merced, City of",1745393,1408.31305131
287,287,287,287,Open Access,Carolo Gabriault Park,"Merced, City of",1745394,1379.72476258
288,288,288,288,Open Access,Carolo Gabriault Park,"Merced, City of",1745395,1351.19768742
289,289,289,289,Open Access,Carolo Gabriault Park,"Merced, City of",1745396,1322.73578635
290,290,290,290,Open Access,Carolo Gabriault Park,"Merced, City of",1745397,1294.34335881
291,291,291,291,Open Access,Carolo Gabriault Park,"Merced, City of",1745398,1266.02507893
292,292,292,292,Open Access,Carolo Gabriault Park,"Merced, City of",1745399,1237.78603583
293,293,293,293,Open Access,Carolo Gabriault Park,"Merced, City of",1745400,1209.63177888
294,294,294,294,Open Access,Carolo Gabriault Park,"Merced, City of",1745401,1181.56836894
295,295,295,295,Open Access,Carolo Gabriault Park,"Merced, City of",1745402,1153.60243606
296,296,296,296,Open Access,Carolo Gabriault Park,"Merced, City of",1745452,3435.92086732
297,297,297,297,Open Access,Carolo Gabriault Park,"Merced, City of",1745453,3406.11904908
298,298,298,298,Open Access,Carolo Gabriault Park,"Merced, City of",1745454,3376.32074106
299,299,299,299,Open Access,Carolo Gabriault Park,"Merced, City of",1745455,3346.52603702
300,300,300,300,Open Access,Carolo Gabriault Park,"Merced, City of",1745456,3316.73503411
301,301,301,301,Open Access,Carolo Gabriault Park,"Merced, City of",1745457,3286.94783294
302,302,302,302,Open Access,Carolo Gabriault Park,"Merced, City of",1745458,3257.16453783
303,303,303,303,Open Access,Carolo Gabriault Park,"Merced, City of",1745459,3227.3852569
304,304,304,304,Open Access,Carolo Gabriault Park,"Merced, City of",1745460,3197.61010232
305,305,305,305,Open Access,Carolo Gabriault Park,"Merced, City of",1745461,3167.83919044
306,306,306,306,Open Access,Carolo Gabriault Park,"Merced, City of",1745462,3138.072642
307,307,307,307,Open Access,Carolo Gabriault Park,"Merced, City of",1745463,3108.31058237
308,308,308,308,Open Access,Carolo Gabriault Park,"Merced, City of",1745464,3078.55314173
